"","id","wave","NWP","SCR","EoF for SCR ","SCR coverage r","GWP ","Total assets ","Total liabilities ","Excess of assets over liabilities (£m) [= equ","Gross claims incurred (£m","Gross BEL (inc. TPs as whole, pre-TMTP) (£m","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Pure net claims ratio","Net expense ratio","Net combined ratio","Pure gross claims ratio"
"1","1","2016",-17754.1,2021.32,2416.56,0.16,46.77,63676.87,40171.68,1243.92,0,0,0,0,0,0,0
"2","1","2017",0,0,3.8,55887003.06,0,9.57,0,4.4,0.005515162,0.588994165,9.894597449,17.18430798,41.01305997,71.29884098,17.53469117
"3","1","2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","1","2019",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"5","1","2020",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"6","2","2016",9.24,16.46,33.9,5.65,41.79,78.78,7.97,8.76,44.46786548,221.3276799,45.45968941,0.159864689,0.843671861,1.27629617,0.178341549
"7","2","2017",0.1,15.01,20.95,3.68,6.19,23.31,12.8,48.43,29.48959904,59.47469093,239.0726723,0.229998857,0.738404694,2.176070868,0.034749821
"8","2","2018",40.81,14.23,78.47,10.24,11.58,56.34,11.33,0.07,34.10048216,266.1184138,244.2678846,0.088371892,1.37077585,0.687316216,0.24349123
"9","2","2019",35.64,15.04,47.73,5.79,3.89,98.82,6.73,43.37,0,NA,0,0,0,0,0
"10","2","2020",13.63,1.59,28.78,3.17,16.72,2.67,16.17,12.46,0,NA,0,0,0,0,0
"11","3","2016",0,486.89,693.52,1.14,0,54.68,68,210.92,0,0,0,0,0,0,0
"12","3","2017",0.81,495.79,767.25,1.71,68.11,2321.11,1592.31,100.78,0,0,0,0,0,0,0
"13","3","2018",36.62,626.61,582.6,1.22,138.08,1961.55,1005.33,87.59,0,0,0,0,0,0,0
"14","3","2019",86.63,81.24,114.82,1.35,148.59,226.51,593.69,922.49,0,NA,0,0,0,0,0
"15","3","2020",54.74,362.09,841.93,0.25,38.12,540.59,374.71,412.47,0,NA,0,0,0,0,0
"16","4","2016",19677.45,15975.65,29997.67,0.68,43375.81,64985.73,48416.74,24862.17,14.3409385,-35.1127676,-1.458390453,1.384419619,0.338678291,0.672481148,0.060352457
"17","4","2017",41072.82,15367.89,36644.4,1.22,23689.62,51060.07,30870.23,7191.96,71.06244714,7.848684904,12.27337793,1.79795146,0.00662933,1.98695231,1.307666332
"18","4","2018",20885.51,10797.12,10096.98,2.7,68276.76,138993.23,68145.07,12910.35,87.91247132,100.87627,56.12905227,3.45789121,0.083976768,1.841528338,2.521607414
"19","4","2019",14719.67,22788.36,8536.23,2.03,41081.45,105167.62,92600.14,12586.97,42.28040164,NA,146.1879387,0.00384755,0.091666953,3.817220911,0.273745703
"20","4","2020",49204.47,16090.31,41636.3,1.2,37761.88,37423.54,92273.05,24127.84,3.668493703,NA,38.90354911,-5.765023558,-0.118383778,-3.54873146,-9.382388735
"21","5","2016",128.81,32.74,149.65,1.46,80.18,572.07,267.46,262.68,48.738606,8.386701258,46.17668122,0.597665478,0.417615632,0.50987123,0.133181641
"22","5","2017",10.41,43.95,202.85,4.96,55.8,140.72,22.98,7.59,425.7488693,253.1494141,282.2703172,2.222645201,0.159063556,0.087591922,1.226610532
"23","5","2018",79.58,31.62,167.41,3.23,55.47,31.62,69.34,96.95,691.3796685,587.4612086,317.8770031,0.752215493,0.040587129,2.403634705,1.523988386
"24","5","2019",79.42,30.12,176.72,4.34,18,172.51,16.84,104.61,174.1012597,NA,704.129946,0.361376596,0.160455143,1.240876314,0.851948714
"25","5","2020",61.73,91.52,142.78,1.62,32.28,15.05,106.18,103.18,5.927624122,NA,582.1919882,0.914595412,0.058344943,1.869667547,0.734637411
"26","6","2016",3091.39,5127.37,3816.67,0.04,1966.06,76031.73,21524.89,1730.05,125.0767923,800.531844,843.0400666,1.476436263,0.413564212,0.280969313,0.146249003
"27","6","2017",3357.93,5252.81,1421.16,0.62,1199.66,76887.53,29794.43,2681.88,457.3197221,554.6120698,816.2661942,0.108122329,0.39179882,0.496601128,0.127236716
"28","6","2018",3215.47,5460.8,4927.79,1.1,4061.62,55185.12,73169.14,6397.69,364.1487552,232.5502085,695.6275138,1.246686133,0.002661349,0.70004531,0.387820126
"29","6","2019",53.22,4581.92,6793.54,2.23,7464.34,11332.29,61908.34,4848.82,257.3324523,NA,504.435946,0.247333239,0.272507079,1.523201881,0.176961581
"30","6","2020",5969.71,3102.99,5628.46,2.5,4209.12,107547.79,7915.44,9295.37,268.5278732,NA,530.8859346,0.026817916,0.249501669,0.38456364,0.521146146
"31","7","2016",3148.48,3352.5,7034.11,1.65,4169.54,93321.46,9079.89,9579.74,0,0,0,0,0,0,0
"32","7","2017",3307.13,2155.2,4477.93,0.08,12689.07,8523.87,157830.72,3474.81,0,0,0,0,0,0,0
"33","7","2018",713.85,4246.24,6458.19,1.91,5814,59601.56,1656.2,13507.94,0,0,0,0,0,0,0
"34","7","2019",18232.38,7597.76,13013.58,2.3,4224.7,60086.6,5825.25,11434.72,0,NA,0,0,0,0,0
"35","7","2020",6486.66,3105.99,7692.02,0.1,16183.57,58820.1,178292.69,13165.53,0,NA,0,0,0,0,0
"36","8","2016",0,0,0,0,0,0,0,0,0.107353887,0.684127505,1.168949473,0.2465947,0.22543826,0.640540807,0.133337411
"37","8","2017",0,0,0,0,0,0,0,0,-0.027761172,1.118496373,0.314088078,-0.133836074,0.421018536,1.106218939,-0.117960092
"38","8","2018",0,0,0,0,0,0,0,0,-0.177631063,0.861628526,0.949147674,-0.7666135,0.3350929,-0.962192883,-0.23636522
"39","8","2019",0,0,0,0,0,0,0,0,0,NA,0.183831541,0.018346392,0.938432816,0.193519428,0
"40","8","2020",0,0,0,0,0,0,0,0,0,NA,0.26240689,0,0,0,0
"41","9","2016",15.28,6.95,34.96,3.49,33.27,23.03,20.12,0.4,213.4965319,567.2169815,28.72134295,0.132515725,0.514491661,1.500627121,0.610300981
"42","9","2017",15.18,23.01,46.8,2.42,24.41,100.79,3.21,15.61,87.59312375,695.1437273,696.5788905,0.087310339,0.14496587,1.624879661,0.114008597
"43","9","2018",27.79,25.18,7.83,0.6,31.9,3.27,46.9,0.79,193.0638679,835.7799506,790.3521784,0.780486631,0.230751987,1.103710757,0.929958156
