,Gross claims incurred (£m),Gross claims incurred (£m),Gross claims incurred (£m),Gross claims incurred (£m),Gross claims incurred (£m),"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",Pure net claims ratio,Pure net claims ratio,Pure net claims ratio,Pure net claims ratio,Pure net claims ratio,Net expense ratio,Net expense ratio,Net expense ratio,Net expense ratio,Net expense ratio,Net combined ratio,Net combined ratio,Net combined ratio,Net combined ratio,Net combined ratio,Pure gross claims ratio,Pure gross claims ratio,Pure gross claims ratio,Pure gross claims ratio,Pure gross claims ratio,Gross expense ratio,Gross expense ratio,Gross expense ratio,Gross expense ratio,Gross expense ratio,Gross combined ratio,Gross combined ratio,Gross combined ratio,Gross combined ratio,Gross combined ratio,
,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,
Firm 1,0,0.005515162,0,0,0,0,0.588994165,0,0,0,0,9.894597449,0,0,0,0,17.18430798,0,0,0,0,41.01305997,0,0,0,0,71.29884098,0,0,0,0,17.53469117,0,0,0,0,77.25125441,0,0,0,0,0.675050693,0,0,0,
Firm 2,44.46786548,29.48959904,34.10048216,0,0,221.3276799,59.47469093,266.1184138,0,0,45.45968941,239.0726723,244.2678846,0,0,0.159864689,0.229998857,0.088371892,0,0,0.843671861,0.738404694,1.37077585,0,0,1.27629617,2.176070868,0.687316216,0,0,0.178341549,0.034749821,0.24349123,0,0,0.391178802,0.685940725,1.433283756,0,0,1.750946284,1.321523007,1.545324744,0,0,
Firm 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 4,14.3409385,71.06244714,87.91247132,42.28040164,3.668493703,-35.1127676,7.848684904,100.87627,167.9595358,0.057598926,-1.458390453,12.27337793,56.12905227,146.1879387,38.90354911,1.384419619,1.79795146,3.45789121,0.00384755,-5.765023558,0.338678291,0.00662933,0.083976768,0.091666953,-0.118383778,0.672481148,1.98695231,1.841528338,3.817220911,-3.54873146,0.060352457,1.307666332,2.521607414,0.273745703,-9.382388735,0.231139407,0.285471254,0.054150397,0.051848212,-0.162883369,1.047234208,0.476384399,3.307378843,1.247403375,-2.303093035,
Firm 5,48.738606,425.7488693,691.3796685,174.1012597,5.927624122,8.386701258,253.1494141,587.4612086,226.9774353,722.2394979,46.17668122,282.2703172,317.8770031,704.129946,582.1919882,0.597665478,2.222645201,0.752215493,0.361376596,0.914595412,0.417615632,0.159063556,0.040587129,0.160455143,0.058344943,0.50987123,0.087591922,2.403634705,1.240876314,1.869667547,0.133181641,1.226610532,1.523988386,0.851948714,0.734637411,0.236128426,0.232724867,0.204507781,0.131738513,0.04870299,0.243611429,1.977732029,2.495287225,0.365455113,1.133645348,
Firm 6,125.0767923,457.3197221,364.1487552,257.3324523,268.5278732,800.531844,554.6120698,232.5502085,187.2137488,865.0140656,843.0400666,816.2661942,695.6275138,504.435946,530.8859346,1.476436263,0.108122329,1.246686133,0.247333239,0.026817916,0.413564212,0.39179882,0.002661349,0.272507079,0.249501669,0.280969313,0.496601128,0.70004531,1.523201881,0.38456364,0.146249003,0.127236716,0.387820126,0.176961581,0.521146146,0.105266687,0.451177698,0.239576408,0.261322556,0.065709555,0.650368623,0.904270563,0.147146294,0.351033869,0.687859739,
Firm 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 8,0.107353887,-0.027761172,-0.177631063,0,0,0.684127505,1.118496373,0.861628526,1.247481524,0.027732611,1.168949473,0.314088078,0.949147674,0.183831541,0.26240689,0.2465947,-0.133836074,-0.7666135,0.018346392,0,0.22543826,0.421018536,0.3350929,0.938432816,0,0.640540807,1.106218939,-0.962192883,0.193519428,0,0.133337411,-0.117960092,-0.23636522,0,0,0.519989903,0.283164906,0.050565839,0.464667356,0,1.271791877,0.125034847,-0.013901197,1.046206352,0,
Firm 9,213.4965319,87.59312375,193.0638679,78.94937448,0,567.2169815,695.1437273,835.7799506,511.8590347,0,28.72134295,696.5788905,790.3521784,195.7422877,0,0.132515725,0.087310339,0.780486631,0.945208292,0,0.514491661,0.14496587,0.230751987,0.696280858,0,1.500627121,1.624879661,1.103710757,1.856404775,0,0.610300981,0.114008597,0.929958156,0.797544881,0,0.703506547,0.444564323,0.594972286,0.04362752,0,1.41315884,0.337763143,1.530192269,0.902398489,0,
